pool	type	individual_id
YS-CTSZ-1-S	Spleen	YS-CTSZ-1
YS-CTSZ-2-B	Brain	YS-CTSZ-2
YS-CTSZ-2-G	Gill	YS-CTSZ-2
YS-CTSZ-2-H	Liver	YS-CTSZ-2
YS-CTSZ-2-I	Intestine	YS-CTSZ-2
YS-CTSZ-2-K	Kidney	YS-CTSZ-2
YS-CTSZ-2-M	Muscles	YS-CTSZ-2
YS-CTSZ-2-P	Skin	YS-CTSZ-2
YS-CTSZ-2-S	Spleen	YS-CTSZ-2
YS-CTSZ-3-B	Brain	YS-CTSZ-3
YS-CTSZ-3-G	Gill	YS-CTSZ-3
YS-CTSZ-3-H	Liver	YS-CTSZ-3
YS-CTSZ-3-I	Intestine	YS-CTSZ-3
YS-CTSZ-3-K	Kidney	YS-CTSZ-3
YS-CTSZ-3-M	Muscles	YS-CTSZ-3
YS-CTSZ-3-P	Skin	YS-CTSZ-3
YS-CTSZ-3-S	Spleen	YS-CTSZ-3
YS-DHY-1-B	Brain	YS-DHY-1
YS-DHY-1-G	Gill	YS-DHY-1
YS-DHY-1-H	Liver	YS-DHY-1
YS-DHY-1-I	Intestine	YS-DHY-1
YS-DHY-1-K	Kidney	YS-DHY-1
YS-DHY-1-M	Muscles	YS-DHY-1
YS-DHY-1-P	Skin	YS-DHY-1
YS-DHY-1-S	Spleen	YS-DHY-1
YS-DHY-2-B	Brain	YS-DHY-2
YS-DHY-2-G	Gill	YS-DHY-2
YS-DHY-2-H	Liver	YS-DHY-2
YS-DHY-2-I	Intestine	YS-DHY-2
YS-DHY-2-K	Kidney	YS-DHY-2
YS-DHY-2-M	Muscles	YS-DHY-2
YS-DHY-2-P	Skin	YS-DHY-2
YS-DHY-2-S	Spleen	YS-DHY-2
YS-DLLY-1-B	Brain	YS-DLLY-1
YS-DLLY-1-G	Gill	YS-DLLY-1
YS-DLLY-1-H	Liver	YS-DLLY-1
YS-DLLY-1-I	Intestine	YS-DLLY-1
YS-DLLY-1-K	Kidney	YS-DLLY-1
YS-DLLY-1-M	Muscles	YS-DLLY-1
YS-DLLY-1-P	Skin	YS-DLLY-1
YS-DLLY-1-S	Spleen	YS-DLLY-1
YS-DSLT-1-B	Brain	YS-DSLT-1
YS-DSLT-1-G	Gill	YS-DSLT-1
YS-DSLT-1-H	Liver	YS-DSLT-1
YS-DSLT-1-I	Intestine	YS-DSLT-1
YS-DSLT-1-K	Kidney	YS-DSLT-1
YS-DSLT-1-M	Muscles	YS-DSLT-1
YS-DSLT-1-P	Skin	YS-DSLT-1
YS-DSLT-1-S	Spleen	YS-DSLT-1
YS-DSLT-2-B	Brain	YS-DSLT-2
YS-DSLT-2-G	Gill	YS-DSLT-2
YS-DSLT-2-H	Liver	YS-DSLT-2
YS-DSLT-2-I	Intestine	YS-DSLT-2
YS-DSLT-2-K	Kidney	YS-DSLT-2
YS-DSLT-2-M	Muscles	YS-DSLT-2
YS-DSLT-2-P	Skin	YS-DSLT-2
YS-DSLT-2-S	Spleen	YS-DSLT-2
YS-DSLT-3-B	Brain	YS-DSLT-3
YS-DSLT-3-G	Gill	YS-DSLT-3
YS-DSLT-3-H	Liver	YS-DSLT-3
YS-DSLT-3-I	Intestine	YS-DSLT-3
YS-DSLT-3-K	Kidney	YS-DSLT-3
YS-DSLT-3-M	Muscles	YS-DSLT-3
YS-DSLT-3-P	Skin	YS-DSLT-3
YS-DSLT-3-S	Spleen	YS-DSLT-3
YS-DZTT-1-B	Brain	YS-DZTT-1
YS-DZTT-1-G	Gill	YS-DZTT-1
YS-DZTT-1-H	Liver	YS-DZTT-1
YS-DZTT-1-I	Intestine	YS-DZTT-1
YS-DZTT-1-K	Kidney	YS-DZTT-1
YS-DZTT-1-M	Muscles	YS-DZTT-1
YS-DZTT-1-P	Skin	YS-DZTT-1
YS-DZTT-1-S	Spleen	YS-DZTT-1
YS-HBSZ-1-B	Brain	YS-HBSZ-1
YS-HBSZ-1-G	Gill	YS-HBSZ-1
YS-HBSZ-1-H	Liver	YS-HBSZ-1
YS-HBSZ-1-I	Intestine	YS-HBSZ-1
YS-HBSZ-1-K	Kidney	YS-HBSZ-1
YS-HBSZ-1-M	Muscles	YS-HBSZ-1
YS-HBSZ-1-P	Skin	YS-HBSZ-1
YS-HBSZ-1-S	Spleen	YS-HBSZ-1
YS-HBSZ-2-B	Brain	YS-HBSZ-2
YS-HBSZ-2-G	Gill	YS-HBSZ-2
YS-HBSZ-2-H	Liver	YS-HBSZ-2
YS-HBSZ-2-I	Intestine	YS-HBSZ-2
YS-HBSZ-2-K	Kidney	YS-HBSZ-2
YS-HBSZ-2-M	Muscles	YS-HBSZ-2
YS-HBSZ-2-P	Skin	YS-HBSZ-2
YS-HBSZ-2-S	Spleen	YS-HBSZ-2
YS-HBSZ-3-B	Brain	YS-HBSZ-3
YS-HBSZ-3-G	Gill	YS-HBSZ-3
YS-HBSZ-3-H	Liver	YS-HBSZ-3
YS-HBSZ-3-I	Intestine	YS-HBSZ-3
YS-HBSZ-3-K	Kidney	YS-HBSZ-3
YS-HBSZ-3-M	Muscles	YS-HBSZ-3
YS-HBSZ-3-P	Skin	YS-HBSZ-3
YS-HBSZ-3-S	Spleen	YS-HBSZ-3
YS-HJ-1-B	Brain	YS-HJ-1
YS-HJ-1-G	Gill	YS-HJ-1
YS-HJ-1-H	Liver	YS-HJ-1
YS-HJ-1-I	Intestine	YS-HJ-1
YS-HJ-1-K	Kidney	YS-HJ-1
YS-HJ-1-M	Muscles	YS-HJ-1
YS-HJ-1-P	Skin	YS-HJ-1
YS-HJ-1-S	Spleen	YS-HJ-1
YS-HJ-2-B	Brain	YS-HJ-2
YS-HJ-2-G	Gill	YS-HJ-2
YS-HJ-2-H	Liver	YS-HJ-2
YS-HJ-2-I	Intestine	YS-HJ-2
YS-HJ-2-K	Kidney	YS-HJ-2
YS-HJ-2-M	Muscles	YS-HJ-2
YS-HJ-2-P	Skin	YS-HJ-2
YS-HJ-2-S	Spleen	YS-HJ-2
YS-HJ-3-B	Brain	YS-HJ-3
YS-HJ-3-G	Gill	YS-HJ-3
YS-HJ-3-H	Liver	YS-HJ-3
YS-HJ-3-I	Intestine	YS-HJ-3
YS-HJ-3-K	Kidney	YS-HJ-3
YS-HJ-3-M	Muscles	YS-HJ-3
YS-HJ-3-P	Skin	YS-HJ-3
YS-HJ-3-S	Spleen	YS-HJ-3
YS-HJ-4-B	Brain	YS-HJ-4
YS-HJ-4-G	Gill	YS-HJ-4
