individual_id	organ_code	tissue	lib_index
YS-CHLT-3	P	Skin	YS-CHLT-3-P
YS-CHLT-3	S	Spleen	YS-CHLT-3-S
YS-CTSZ-1	B	Brain	YS-CTSZ-1-B
YS-CTSZ-1	G	Gill	YS-CTSZ-1-G
YS-CTSZ-1	H	Liver	YS-CTSZ-1-H
YS-CTSZ-1	I	Intestine	YS-CTSZ-1-I
YS-CTSZ-1	K	Kidney	YS-CTSZ-1-K
YS-CTSZ-1	M	Muscles	YS-CTSZ-1-M
YS-CTSZ-1	P	Skin	YS-CTSZ-1-P
YS-CTSZ-1	S	Spleen	YS-CTSZ-1-S
YS-CTSZ-2	B	Brain	YS-CTSZ-2-B
YS-CTSZ-2	G	Gill	YS-CTSZ-2-G
YS-CTSZ-2	H	Liver	YS-CTSZ-2-H
YS-CTSZ-2	I	Intestine	YS-CTSZ-2-I
YS-CTSZ-2	K	Kidney	YS-CTSZ-2-K
YS-CTSZ-2	M	Muscles	YS-CTSZ-2-M
YS-CTSZ-2	P	Skin	YS-CTSZ-2-P
YS-CTSZ-2	S	Spleen	YS-CTSZ-2-S
YS-CTSZ-3	B	Brain	YS-CTSZ-3-B
YS-CTSZ-3	G	Gill	YS-CTSZ-3-G
YS-CTSZ-3	H	Liver	YS-CTSZ-3-H
YS-CTSZ-3	I	Intestine	YS-CTSZ-3-I
YS-CTSZ-3	K	Kidney	YS-CTSZ-3-K
YS-CTSZ-3	M	Muscles	YS-CTSZ-3-M
YS-CTSZ-3	P	Skin	YS-CTSZ-3-P
YS-CTSZ-3	S	Spleen	YS-CTSZ-3-S
YS-DHY-1	B	Brain	YS-DHY-1-B
YS-DHY-1	G	Gill	YS-DHY-1-G
YS-DHY-1	H	Liver	YS-DHY-1-H
YS-DHY-1	I	Intestine	YS-DHY-1-I
YS-DHY-1	K	Kidney	YS-DHY-1-K
YS-DHY-1	M	Muscles	YS-DHY-1-M
YS-DHY-1	P	Skin	YS-DHY-1-P
YS-DHY-1	S	Spleen	YS-DHY-1-S
YS-DHY-2	B	Brain	YS-DHY-2-B
YS-DHY-2	G	Gill	YS-DHY-2-G
YS-DHY-2	H	Liver	YS-DHY-2-H
YS-DHY-2	I	Intestine	YS-DHY-2-I
YS-DHY-2	K	Kidney	YS-DHY-2-K
YS-DHY-2	M	Muscles	YS-DHY-2-M
YS-DHY-2	P	Skin	YS-DHY-2-P
YS-DHY-2	S	Spleen	YS-DHY-2-S
YS-DLLY-1	B	Brain	YS-DLLY-1-B
YS-DLLY-1	G	Gill	YS-DLLY-1-G
YS-DLLY-1	H	Liver	YS-DLLY-1-H
YS-DLLY-1	I	Intestine	YS-DLLY-1-I
YS-DLLY-1	K	Kidney	YS-DLLY-1-K
YS-DLLY-1	M	Muscles	YS-DLLY-1-M
YS-DLLY-1	P	Skin	YS-DLLY-1-P
YS-DLLY-1	S	Spleen	YS-DLLY-1-S
YS-DSLT-1	B	Brain	YS-DSLT-1-B
YS-DSLT-1	G	Gill	YS-DSLT-1-G
YS-DSLT-1	H	Liver	YS-DSLT-1-H
YS-DSLT-1	I	Intestine	YS-DSLT-1-I
YS-DSLT-1	K	Kidney	YS-DSLT-1-K
YS-DSLT-1	M	Muscles	YS-DSLT-1-M
YS-DSLT-1	P	Skin	YS-DSLT-1-P
YS-DSLT-1	S	Spleen	YS-DSLT-1-S
YS-DSLT-2	B	Brain	YS-DSLT-2-B
YS-DSLT-2	G	Gill	YS-DSLT-2-G
