lib_id	count
YS-HJ-2-G	0
YS-HJ-2-H	0
YS-HJ-2-I	0
YS-HJ-2-K	0
YS-HJ-2-M	0
YS-HJ-2-P	0
YS-HJ-2-S	0
YS-HJ-3-B	0
YS-HJ-3-G	0
YS-HJ-3-H	0
YS-HJ-3-I	0
YS-HJ-3-K	0
YS-HJ-3-M	0
YS-HJ-3-P	1
YS-HJ-3-S	0
YS-HJ-4-B	0
YS-HJ-4-G	0
YS-HJ-4-H	0
YS-HJ-4-I	0
YS-HJ-4-K	0
YS-HJ-4-M	0
YS-HJ-4-P	0
YS-HJ-4-S	0
YS-HJ-5-B	0
YS-HJ-5-G	0
YS-HJ-5-H	0
YS-HJ-5-I	0
YS-HJ-5-K	0
YS-HJ-5-M	0
YS-HJ-5-P	0
YS-HJ-5-S	0
YS-HJ-6-B	0
YS-HJ-6-G	0
YS-HJ-6-H	0
YS-HJ-6-I	0
YS-HJ-6-K	0
YS-HJ-6-M	0
YS-HJ-6-P	0
YS-HJ-6-S	0
YS-HKL-1-B	0
YS-HKL-1-G	0
YS-HKL-1-H	0
YS-HKL-1-I	3
YS-HKL-1-K	0
YS-HKL-1-M	0
YS-HKL-1-P	1
YS-HKL-1-S	0
YS-HKL-2-B	0
YS-HKL-2-G	0
YS-HKL-2-H	0
YS-HKL-2-I	1
YS-HKL-2-K	0
YS-HKL-2-M	0
YS-HKL-2-P	0
YS-HKL-2-S	0
YS-HKL-3-B	0
YS-HKL-3-G	0
YS-HKL-3-H	0
YS-HKL-3-I	0
YS-HKL-3-K	0
YS-HKL-3-M	0
YS-HKL-3-P	0
YS-HKL-3-S	0
YS-HM-1-B	0
YS-HM-1-G	1
YS-HM-1-H	0
YS-HM-1-I	0
YS-HM-1-K	1
YS-HM-1-M	1
YS-HM-1-P	1
YS-HM-1-S	0
YS-HM-2-B	1
YS-HM-2-G	1
YS-HM-2-H	0
YS-HM-2-I	0
YS-HM-2-K	0
YS-HM-2-M	1
YS-HM-2-P	1
YS-HM-2-S	1
YS-HM-3-B	0
YS-HM-3-G	1
YS-HM-3-H	0
YS-HM-3-I	0
YS-HM-3-K	0
YS-HM-3-M	1
YS-HM-3-P	1
YS-HM-3-S	0
YS-HM-4-B	0
YS-HM-4-G	1
YS-HM-4-H	1
YS-HM-4-I	1
YS-HM-4-K	1
YS-HM-4-M	1
YS-HM-4-P	1
YS-HM-4-S	1
YS-HSLT-1-B	0
YS-HSLT-1-G	0
YS-HSLT-1-H	0
YS-HSLT-1-I	0
YS-HSLT-1-K	0
YS-HSLT-1-M	0
YS-HSLT-1-P	3
YS-HSLT-1-S	0
YS-HSLT-2-B	0
YS-HSLT-2-G	0
YS-HSLT-2-H	0
YS-HSLT-2-I	0
YS-HSLT-2-K	0
YS-HSLT-2-M	0
YS-HSLT-2-P	0
YS-HSLT-2-S	0
YS-HSLT-3-B	0
YS-HSLT-3-G	0
YS-HSLT-3-H	0
YS-HSLT-3-I	0
YS-HSLT-3-K	0
YS-HSLT-3-M	0
YS-HSLT-3-P	3
YS-HSLT-3-S	0
YS-JSXSD-1-B	0
YS-JSXSD-1-G	0
YS-JSXSD-1-H	0
YS-JSXSD-1-I	0
YS-JSXSD-1-K	0
YS-JSXSD-1-M	0
YS-JSXSD-1-P	1
YS-JSXSD-1-S	0
YS-JSXSD-2-B	0
YS-JSXSD-2-G	0
YS-JSXSD-2-H	1
YS-JSXSD-2-I	1
YS-JSXSD-2-K	1
YS-JSXSD-2-M	1
YS-JSXSD-2-P	1
YS-JSXSD-2-S	1
YS-JSXSD-3-B	0
YS-JSXSD-3-G	0
YS-JSXSD-3-H	0
YS-JSXSD-3-I	0
YS-JSXSD-3-K	0
YS-JSXSD-3-M	0
YS-JSXSD-3-P	1
YS-JSXSD-3-S	0
YS-JTZCS-1-B	0
YS-JTZCS-1-G	1
YS-JTZCS-1-H	1
YS-JTZCS-1-I	2
YS-JTZCS-1-K	1
YS-JTZCS-1-M	1
YS-JTZCS-1-P	1
YS-JTZCS-1-S	1
YS-JXY-1-B	0
YS-JXY-1-G	0
YS-JXY-1-H	0
YS-JXY-1-I	0
YS-JXY-1-K	0
YS-JXY-1-M	0
YS-JXY-1-P	0
YS-JXY-1-S	1
YS-JXY-2-B	0
YS-JXY-2-G	0
YS-JXY-2-H	0
YS-JXY-2-I	0
YS-JXY-2-K	0
YS-JXY-2-M	0
YS-JXY-2-P	0
YS-JXY-2-S	0
YS-JXY-3-B	1
YS-JXY-3-G	1
YS-JXY-3-H	1
