Panel	Panel_index	Pathogens	Display_label	Red_star
Top_1	1	Bombay duck fish bornavirus	Bombay
duck fish
bornavirus	TRUE
Top_2	2	Odontamblyopus rubicundus hepacivirus	Odont.
rubicundus
hepacivirus	FALSE
Top_3	3	Johnius belangerii hepacivirus	Johnius
belangerii
hepacivirus	FALSE
Top_4	4	Nanhai reo-like virus 7	Nanhai
reo-like
virus 7	FALSE
Top_5	5	Nanhai retrovirus 1	Nanhai
retrovirus
1	FALSE
Top_6	6	Nanhai circo-like virus 2	Nanhai
circo-like
virus 2	FALSE
Top_7	7	Glugea plecoglossi	Glugea
plecoglossi	TRUE
Top_8	8	Toxocara sp. CTSZ	Toxocara
sp. CTSZ	FALSE
Bottom_1	9	Telatrygon zugei hepacivirus	Telatrygon
zugei
hepacivirus	FALSE
Bottom_2	10	Vibrio ponticus	Vibrio
ponticus	TRUE
Bottom_3	11	Aliivibrio fischeri	Aliivibrio
fischeri	TRUE
Bottom_4	12	Photobacterium sp.	Photo
bacterium
sp.	FALSE
Bottom_5	13	Vibrio sp. Y	Vibrio
sp. Y	FALSE
Bottom_6	14	Asian seabass Nervous Necrosis Virus	Asian seabass
Nervous
Necrosis virus	TRUE
Bottom_7	15	Marble sleepy goby iridovirus	Marble
sleepy goby
iridovirus	TRUE
