"pathogen_1","pathogen_2","infected_hosts_1","infected_hosts_2","co_infected_hosts","expected_co_infected_hosts","phi_coefficient","odds_ratio","fisher_p","fisher_BH_q","significant_positive_BH"
"Nanhai papillomavirus HM","Wenzhou pacific spadenose shark reovirus 2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Nanhai reo-like virus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Nanhai reo-like virus 2",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai papillomavirus HM","Nanhai reo-like virus 4",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai papillomavirus HM","Nanhai reo-like virus 5",1,5,0,0.0446428571428571,-0.0205178392964012,0,1,1,FALSE
"Nanhai papillomavirus HM","Nanhai reo-like virus 6",1,5,0,0.0446428571428571,-0.0205178392964012,0,1,1,FALSE
"Nanhai papillomavirus HM","Nanhai reo-like virus 7",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai papillomavirus HM","Asian seabass Nervous Necrosis Virus",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai papillomavirus HM","Aliivibrio fischeri",1,5,0,0.0446428571428571,-0.0205178392964012,0,1,1,FALSE
"Nanhai papillomavirus HM","Acinetobacter johnsonii",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai papillomavirus HM","Pseudomonas aeruginosa",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Vibrio ponticus",1,8,0,0.0714285714285714,-0.0263249063246328,0,1,1,FALSE
"Nanhai papillomavirus HM","Photobacterium swingsii",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Photobacterium damselae",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai papillomavirus HM","Photobacterium sp. QLXSD",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai papillomavirus HM","Clostridium sp. Y",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai papillomavirus HM","Photobacterium sp.",1,8,0,0.0714285714285714,-0.0263249063246328,0,1,1,FALSE
"Nanhai papillomavirus HM","Vibrio sp. Y",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai papillomavirus HM","Clostridium sp. SQHN",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Pseudoloma sp. FJ",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Glugea plecoglossi",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai papillomavirus HM","Toxocara sp. CTSZ",1,19,0,0.169642857142857,-0.0429016343237295,0,1,1,FALSE
"Nanhai papillomavirus HM","Lepeophtheirus sp. SQHN",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Toxoplasma sp. LZY",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Toxocara sp. LYS",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Besnoitia sp. HKL",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Caligus sp. RWXLT",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai papillomavirus HM","Hydatigera sp. SDYY",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai papillomavirus HM","Cystoisospora sp. DSLT-2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Sarcocystidae sp. DSLT",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Sarcocystidae sp. SZMB",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Toxocaridae sp. Z",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Eimeria sp. SZMB",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Taeniidae sp. QLXSDD",1,4,0,0.0357142857142857,-0.0182665541450397,0,1,1,FALSE
"Nanhai papillomavirus HM","Taeniidae sp. LZY",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Taeniidae sp. HBSZ",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai papillomavirus HM","Opisthorchiidae sp. SZMB",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai papillomavirus HM","Eimeriorina sp. RWXLT",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai retrovirus 2",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Wenzhou pacific spadenose shark astrovirus 2",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai astrovirus LZMB",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Odontamblyopus rubicundus hepacivirus",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Johnius belangerii hepacivirus",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Telatrygon zugei hepacivirus",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Bombay duck fish bornavirus",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Paramonacanthus sulcatus filovirus",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai filovirus 2",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai filovirus 3",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai rhabdovirus 1",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai paramyxovirus 1",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai paramyxovirus 2",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Psenopsis anomala artervirus",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai amnoonvirus 1",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Arius arius calicivirus",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Psenopsis anomala picornavirus",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Leiognathus ruconius picornavirus",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Polydactylus sextarius picornavirus",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Gymnothorax reevesii picornavirus",3,4,0,0.107142857142857,-0.031927542840705,0,1,1,FALSE
"Nanhai retrovirus 1","Micropterus salmoides reovirus",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Wenzhou pacific spadenose shark reovirus 2",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai reo-like virus 1",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai reo-like virus 2",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai reo-like virus 4",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai reo-like virus 5",3,5,0,0.133928571428571,-0.0358624942577053,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai reo-like virus 6",3,5,0,0.133928571428571,-0.0358624942577053,0,1,1,FALSE
"Nanhai retrovirus 1","Nanhai reo-like virus 7",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Asian seabass Nervous Necrosis Virus",3,3,0,0.0803571428571429,-0.0275229357798165,0,1,1,FALSE
"Nanhai retrovirus 1","Aliivibrio fischeri",3,5,0,0.133928571428571,-0.0358624942577053,0,1,1,FALSE
"Nanhai retrovirus 1","Acinetobacter johnsonii",3,3,0,0.0803571428571429,-0.0275229357798165,0,1,1,FALSE
"Nanhai retrovirus 1","Pseudomonas aeruginosa",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Vibrio ponticus",3,8,0,0.214285714285714,-0.0460124864155343,0,1,1,FALSE
"Nanhai retrovirus 1","Photobacterium swingsii",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Photobacterium damselae",3,3,0,0.0803571428571429,-0.0275229357798165,0,1,1,FALSE
"Nanhai retrovirus 1","Photobacterium sp. QLXSD",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Clostridium sp. Y",3,3,0,0.0803571428571429,-0.0275229357798165,0,1,1,FALSE
"Nanhai retrovirus 1","Photobacterium sp.",3,8,0,0.214285714285714,-0.0460124864155343,0,1,1,FALSE
"Nanhai retrovirus 1","Vibrio sp. Y",3,3,0,0.0803571428571429,-0.0275229357798165,0,1,1,FALSE
"Nanhai retrovirus 1","Clostridium sp. SQHN",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Pseudoloma sp. FJ",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Glugea plecoglossi",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Toxocara sp. CTSZ",3,19,0,0.508928571428571,-0.0749864346023407,0,1,1,FALSE
"Nanhai retrovirus 1","Lepeophtheirus sp. SQHN",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Toxoplasma sp. LZY",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Toxocara sp. LYS",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Besnoitia sp. HKL",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Caligus sp. RWXLT",3,2,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 1","Hydatigera sp. SDYY",3,3,0,0.0803571428571429,-0.0275229357798165,0,1,1,FALSE
"Nanhai retrovirus 1","Cystoisospora sp. DSLT-2",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Sarcocystidae sp. DSLT",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Sarcocystidae sp. SZMB",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Toxocaridae sp. Z",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Eimeria sp. SZMB",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Taeniidae sp. QLXSDD",3,4,0,0.107142857142857,-0.031927542840705,0,1,1,FALSE
"Nanhai retrovirus 1","Taeniidae sp. LZY",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Taeniidae sp. HBSZ",3,3,0,0.0803571428571429,-0.0275229357798165,0,1,1,FALSE
"Nanhai retrovirus 1","Opisthorchiidae sp. SZMB",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 1","Eimeriorina sp. RWXLT",3,1,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Nanhai retrovirus 2","Wenzhou pacific spadenose shark astrovirus 2",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai astrovirus LZMB",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Odontamblyopus rubicundus hepacivirus",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Johnius belangerii hepacivirus",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Telatrygon zugei hepacivirus",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Bombay duck fish bornavirus",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Paramonacanthus sulcatus filovirus",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai filovirus 2",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai filovirus 3",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai rhabdovirus 1",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai paramyxovirus 1",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai paramyxovirus 2",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Psenopsis anomala artervirus",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai amnoonvirus 1",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Arius arius calicivirus",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Psenopsis anomala picornavirus",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Leiognathus ruconius picornavirus",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Polydactylus sextarius picornavirus",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Bregmaceros mcclellandi picornavirus",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Gymnothorax reevesii picornavirus",2,4,0,0.0714285714285714,-0.0259499648053841,0,1,1,FALSE
"Nanhai retrovirus 2","Micropterus salmoides reovirus",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Wenzhou pacific spadenose shark reovirus 2",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai reo-like virus 1",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai reo-like virus 2",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai reo-like virus 4",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai reo-like virus 5",2,5,0,0.0892857142857143,-0.0291482018664544,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai reo-like virus 6",2,5,0,0.0892857142857143,-0.0291482018664544,0,1,1,FALSE
"Nanhai retrovirus 2","Nanhai reo-like virus 7",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Asian seabass Nervous Necrosis Virus",2,3,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 2","Aliivibrio fischeri",2,5,0,0.0892857142857143,-0.0291482018664544,0,1,1,FALSE
"Nanhai retrovirus 2","Acinetobacter johnsonii",2,3,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 2","Pseudomonas aeruginosa",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Vibrio ponticus",2,8,0,0.142857142857143,-0.0373978796003383,0,1,1,FALSE
"Nanhai retrovirus 2","Photobacterium swingsii",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Photobacterium damselae",2,3,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 2","Photobacterium sp. QLXSD",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Clostridium sp. Y",2,3,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 2","Vibrio sp. Y",2,3,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 2","Clostridium sp. SQHN",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Pseudoloma sp. FJ",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Glugea plecoglossi",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Lepeophtheirus sp. SQHN",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Toxoplasma sp. LZY",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Toxocara sp. LYS",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Besnoitia sp. HKL",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Caligus sp. RWXLT",2,2,0,0.0357142857142857,-0.0181818181818182,0,1,1,FALSE
"Nanhai retrovirus 2","Cystoisospora sp. DSLT-2",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Sarcocystidae sp. DSLT",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Sarcocystidae sp. SZMB",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Toxocaridae sp. Z",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Eimeria sp. SZMB",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Taeniidae sp. LZY",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Taeniidae sp. HBSZ",2,3,0,0.0535714285714286,-0.0223700025520446,0,1,1,FALSE
"Nanhai retrovirus 2","Opisthorchiidae sp. SZMB",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Nanhai retrovirus 2","Eimeriorina sp. RWXLT",2,1,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai astrovirus LZMB",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Odontamblyopus rubicundus hepacivirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Johnius belangerii hepacivirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Telatrygon zugei hepacivirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Bombay duck fish bornavirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Paramonacanthus sulcatus filovirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai filovirus 2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai filovirus 3",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai rhabdovirus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai paramyxovirus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai paramyxovirus 2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Psenopsis anomala artervirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai amnoonvirus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Arius arius calicivirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Psenopsis anomala picornavirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Leiognathus ruconius picornavirus",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Polydactylus sextarius picornavirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Bregmaceros mcclellandi picornavirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Gymnothorax reevesii picornavirus",1,4,0,0.0357142857142857,-0.0182665541450397,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Micropterus salmoides reovirus",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai reo-like virus 1",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai reo-like virus 2",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai reo-like virus 4",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai reo-like virus 5",1,5,0,0.0446428571428571,-0.0205178392964012,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai reo-like virus 6",1,5,0,0.0446428571428571,-0.0205178392964012,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Nanhai reo-like virus 7",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Asian seabass Nervous Necrosis Virus",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Aliivibrio fischeri",1,5,0,0.0446428571428571,-0.0205178392964012,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Acinetobacter johnsonii",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Pseudomonas aeruginosa",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Vibrio ponticus",1,8,0,0.0714285714285714,-0.0263249063246328,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Photobacterium swingsii",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Photobacterium damselae",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Photobacterium sp. QLXSD",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Clostridium sp. Y",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Photobacterium sp.",1,8,0,0.0714285714285714,-0.0263249063246328,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Vibrio sp. Y",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Clostridium sp. SQHN",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Pseudoloma sp. FJ",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Glugea plecoglossi",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Toxocara sp. CTSZ",1,19,0,0.169642857142857,-0.0429016343237295,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Lepeophtheirus sp. SQHN",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Toxoplasma sp. LZY",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Toxocara sp. LYS",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Besnoitia sp. HKL",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Caligus sp. RWXLT",1,2,0,0.0178571428571429,-0.0127984438038444,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Hydatigera sp. SDYY",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Cystoisospora sp. DSLT-2",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Sarcocystidae sp. DSLT",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Sarcocystidae sp. SZMB",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Toxocaridae sp. Z",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Eimeria sp. SZMB",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Taeniidae sp. QLXSDD",1,4,0,0.0357142857142857,-0.0182665541450397,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Taeniidae sp. LZY",1,1,0,0.00892857142857143,-0.00900900900900901,0,1,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Taeniidae sp. HBSZ",1,3,0,0.0267857142857143,-0.015746567130481,0,1,1,FALSE
