"name","classification","novelty","pathogen_characteristics","kingdom","family","infected_hosts","total_pathogen_detections","average_pathogens_per_infected_host","community","plot_order","plot_x","plot_y","degree","weighted_degree","betweenness","local_clustering","component"
"Sarcocystidae sp. DSLT","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Sarcocystidae",1,5,5,1,34,-0.532032076515336,0.846724199228284,4,4,0,1,1
"Taeniidae sp. LZY","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Taeniidae",1,5,5,1,35,-0.623489801858734,0.78183148246803,4,4,0,1,1
"Besnoitia sp. HKL","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Sarcocystidae",1,4,4,1,36,-0.707106781186547,0.707106781186548,3,3,0,1,1
"Eimeria sp. SZMB","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Eimeriidae",1,4,4,4,37,-0.78183148246803,0.623489801858734,3,3,0,1,5
"Opisthorchiidae sp. SZMB","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Opisthorchiidae",1,4,4,4,38,-0.846724199228284,0.532032076515337,3,3,0,1,5
"Sarcocystidae sp. SZMB","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Sarcocystidae",1,4,4,4,39,-0.900968867902419,0.433883739117558,3,3,0,1,5
"Toxoplasma sp. LZY","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Sarcocystidae",1,4,4,4,40,-0.943883330308368,0.330279061955167,3,3,0,1,5
"Clostridium sp. SQHN","Bacteria","novel","Potential pathogen","k__Bacteria","f__Clostridiaceae",1,3,3,5,41,-0.974927912181824,0.222520933956315,2,2,0,1,1
"Lepeophtheirus sp. SQHN","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Caligidae",1,3,3,5,42,-0.993712209893243,0.111964476103308,2,2,0,1,1
"Nanhai astrovirus LZMB","RNA virus","novel","Potential pathogen","k__Viruses","f__Astroviridae",1,3,3,1,43,-1,1.22460635382238e-16,2,2,0,1,1
"Nanhai circo-like virus 2","DNA virus","novel","Potential pathogen","k__Viruses","f__Nenyaviridae",1,3,3,2,44,-0.993712209893243,-0.111964476103308,2,2,0,1,1
"Nanhai paramyxovirus 2","RNA virus","novel","Potential pathogen","k__Viruses","f__Paramyxoviridae",1,3,3,1,45,-0.974927912181824,-0.222520933956313,2,2,0,1,1
"Nanhai parvovirus LTY1","DNA virus","novel","Potential pathogen","k__Viruses","f__Parvoviridae",1,3,3,1,46,-0.943883330308368,-0.330279061955167,2,2,0,1,1
"Nanhai rhabdovirus 1","RNA virus","novel","Potential pathogen","k__Viruses","f__Rhabdoviridae",1,3,3,1,47,-0.900968867902419,-0.433883739117558,2,2,0,1,1
"Psenopsis anomala picornavirus","RNA virus","novel","Potential pathogen","k__Viruses","f__Picornaviridae",1,3,3,1,48,-0.846724199228284,-0.532032076515336,2,2,0,1,1
"Bregmaceros mcclellandi picornavirus","RNA virus","novel","Potential pathogen","k__Viruses","f__Picornaviridae",1,2,2,8,49,-0.78183148246803,-0.623489801858733,1,1,0,0,3
"Nanhai filovirus 2","RNA virus","novel","Potential pathogen","k__Viruses","f__Filoviridae",1,2,2,1,50,-0.707106781186548,-0.707106781186547,1,1,0,0,1
"Nanhai papillomavirus HM","DNA virus","novel","Potential pathogen","k__Viruses","f__Papillomaviridae",1,2,2,7,51,-0.623489801858734,-0.78183148246803,1,1,0,0,2
"Nanhai papillomavirus ZBTTT","DNA virus","novel","Potential pathogen","k__Viruses","f__Papillomaviridae",1,2,2,3,52,-0.532032076515337,-0.846724199228284,1,1,0,0,1
"Polydactylus sextarius picornavirus","RNA virus","novel","Potential pathogen","k__Viruses",NA,1,2,2,1,53,-0.433883739117557,-0.900968867902419,1,1,0,0,1
"Toxocara sp. LYS","Eukaryota","novel","Potential pathogen","k__Eukaryota","f__Toxocaridae",1,2,2,1,54,-0.330279061955167,-0.943883330308367,1,1,0,0,1
"Wenzhou pacific spadenose shark astrovirus 2","RNA virus","known","Known pathogen","k__Viruses","f__Astroviridae",1,2,2,9,55,-0.222520933956315,-0.974927912181824,1,1,0,0,6
"Wenzhou pacific spadenose shark reovirus 2","RNA virus","known","Known pathogen","k__Viruses","f__unclassified Reovirales family",1,2,2,9,56,-0.111964476103308,-0.993712209893243,1,1,0,0,6
