"source","target","source_infected_hosts","target_infected_hosts","co_infected_hosts","expected_co_infected_hosts","odds_ratio","phi_coefficient","fisher_p","fisher_BH_q","significant_positive_BH"
"Nanhai filovirus 3","Sarcocystidae sp. DSLT",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Nanhai filovirus 3","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Nanhai papillomavirus HM","Gymnothorax reevesii picornavirus",1,4,1,0.0357142857142857,Inf,0.493196961916072,0.0357142857142859,1,FALSE
"Nanhai papillomavirus ZBTTT","Vibrio ponticus",1,8,1,0.0714285714285714,Inf,0.342223782220227,0.0714285714285714,1,FALSE
"Nanhai paramyxovirus 2","Psenopsis anomala picornavirus",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Nanhai paramyxovirus 2","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Nanhai parvovirus LTY1","Bombay duck fish bornavirus",1,2,1,0.0178571428571429,Inf,0.703914409211443,0.0178571428571429,1,FALSE
"Nanhai parvovirus LTY1","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Nanhai reo-like virus 1","Nanhai reo-like virus 2",1,2,1,0.0178571428571429,Inf,0.703914409211443,0.0178571428571429,1,FALSE
"Nanhai reo-like virus 1","Nanhai reo-like virus 5",1,5,1,0.0446428571428571,Inf,0.439081760942985,0.0446428571428573,1,FALSE
"Nanhai reo-like virus 1","Nanhai reo-like virus 6",1,5,1,0.0446428571428571,Inf,0.439081760942985,0.0446428571428573,1,FALSE
"Nanhai reo-like virus 1","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Nanhai reo-like virus 2","Asian seabass Nervous Necrosis Virus",2,3,1,0.0535714285714286,44.2947127555235,0.395203378419455,0.0530888030888031,1,FALSE
"Nanhai reo-like virus 2","Toxocara sp. CTSZ",2,19,1,0.339285714285714,5.00190091324026,0.118686713612198,0.311776061776062,1,FALSE
"Nanhai reo-like virus 5","Acinetobacter johnsonii",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Aliivibrio fischeri",5,5,1,0.223214285714286,6.21398764733421,0.162616822429907,0.207561502286273,1,FALSE
"Nanhai reo-like virus 5","Asian seabass Nervous Necrosis Virus",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Hydatigera sp. SDYY",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Pseudoloma sp. FJ",5,1,1,0.0446428571428571,Inf,0.439081760942985,0.0446428571428571,1,FALSE
"Nanhai reo-like virus 5","Taeniidae sp. HBSZ",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai reo-like virus 5","Taeniidae sp. QLXSDD",5,4,1,0.178571428571429,8.27160933645704,0.191367887581405,0.169093614047742,1,FALSE
"Nanhai reo-like virus 5","Vibrio ponticus",5,8,1,0.357142857142857,3.50624217748889,0.107918013452834,0.314498878719062,1,FALSE
"Nanhai reo-like virus 5","Vibrio sp. Y",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai reo-like virus 6","Acinetobacter johnsonii",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai reo-like virus 6","Aliivibrio fischeri",5,5,1,0.223214285714286,6.21398764733421,0.162616822429907,0.207561502286273,1,FALSE
"Nanhai reo-like virus 6","Asian seabass Nervous Necrosis Virus",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai reo-like virus 6","Pseudoloma sp. FJ",5,1,1,0.0446428571428571,Inf,0.439081760942985,0.0446428571428571,1,FALSE
"Nanhai reo-like virus 6","Vibrio ponticus",5,8,1,0.357142857142857,3.50624217748889,0.107918013452834,0.314498878719062,1,FALSE
"Nanhai reo-like virus 6","Vibrio sp. Y",5,3,1,0.133928571428571,12.2822933617651,0.231910796199828,0.129146191646192,1,FALSE
"Nanhai retrovirus 1","Bregmaceros mcclellandi picornavirus",3,1,1,0.0267857142857143,Inf,0.572125272407475,0.0267857142857143,1,FALSE
"Nanhai retrovirus 2","Hydatigera sp. SDYY",2,3,1,0.0535714285714286,44.2947127555235,0.395203378419455,0.0530888030888031,1,FALSE
"Nanhai retrovirus 2","Taeniidae sp. QLXSDD",2,4,1,0.0714285714285714,31.0169870261916,0.337349542469993,0.0704633204633207,1,FALSE
"Nanhai rhabdovirus 1","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Odontamblyopus rubicundus hepacivirus","Nanhai reo-like virus 7",2,2,1,0.0357142857142857,77.4003602481656,0.490909090909091,0.0355534105534104,1,FALSE
"Paramonacanthus sulcatus filovirus","Acinetobacter johnsonii",2,3,1,0.0535714285714286,44.2947127555235,0.395203378419455,0.0530888030888031,1,FALSE
"Paramonacanthus sulcatus filovirus","Aliivibrio fischeri",2,5,1,0.0892857142857143,23.8143824804395,0.297311659037835,0.0876769626769628,1,FALSE
"Paramonacanthus sulcatus filovirus","Caligus sp. RWXLT",2,2,1,0.0357142857142857,77.4003602481656,0.490909090909091,0.0355534105534104,1,FALSE
"Paramonacanthus sulcatus filovirus","Nanhai reo-like virus 5",2,5,1,0.0892857142857143,23.8143824804395,0.297311659037835,0.0876769626769628,1,FALSE
"Paramonacanthus sulcatus filovirus","Nanhai reo-like virus 6",2,5,1,0.0892857142857143,23.8143824804395,0.297311659037835,0.0876769626769628,1,FALSE
"Paramonacanthus sulcatus filovirus","Photobacterium damselae",2,3,1,0.0535714285714286,44.2947127555235,0.395203378419455,0.0530888030888031,1,FALSE
"Paramonacanthus sulcatus filovirus","Toxocara sp. CTSZ",2,19,1,0.339285714285714,5.00190091324026,0.118686713612198,0.311776061776062,1,FALSE
"Paramonacanthus sulcatus filovirus","Vibrio ponticus",2,8,1,0.142857142857143,13.8306148097747,0.22438727760203,0.138352638352638,1,FALSE
"Photobacterium damselae","Clostridium sp. Y",3,3,1,0.0803571428571429,23.6797245741274,0.314984709480122,0.0789136539136537,1,FALSE
"Photobacterium damselae","Eimeriorina sp. RWXLT",3,1,1,0.0267857142857143,Inf,0.572125272407475,0.0267857142857143,1,FALSE
"Photobacterium damselae","Toxocara sp. CTSZ",3,19,1,0.508928571428571,2.5007743596301,0.0723553316338375,0.430651105651106,1,FALSE
"Photobacterium sp.","Besnoitia sp. HKL",8,1,1,0.0714285714285714,Inf,0.342223782220227,0.0714285714285713,1,FALSE
"Photobacterium sp.","Hydatigera sp. SDYY",8,3,1,0.214285714285714,7.01748336952174,0.168712450190293,0.201017901017901,1,FALSE
"Photobacterium sp.","Taeniidae sp. LZY",8,1,1,0.0714285714285714,Inf,0.342223782220227,0.0714285714285713,1,FALSE
"Photobacterium sp.","Taeniidae sp. QLXSDD",8,4,1,0.285714285714286,4.68831741384269,0.133440128170906,0.259658789016587,1,FALSE
"Photobacterium sp. QLXSD","Besnoitia sp. HKL",2,1,1,0.0178571428571429,Inf,0.703914409211443,0.0178571428571429,1,FALSE
"Photobacterium sp. QLXSD","Taeniidae sp. LZY",2,1,1,0.0178571428571429,Inf,0.703914409211443,0.0178571428571429,1,FALSE
"Photobacterium sp. QLXSD","Toxocara sp. CTSZ",2,19,1,0.339285714285714,5.00190091324026,0.118686713612198,0.311776061776062,1,FALSE
"Photobacterium swingsii","Eimeriorina sp. RWXLT",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Photobacterium swingsii","Photobacterium damselae",1,3,1,0.0267857142857143,Inf,0.572125272407475,0.0267857142857142,1,FALSE
"Photobacterium swingsii","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Polydactylus sextarius picornavirus","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Psenopsis anomala picornavirus","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Pseudoloma sp. FJ","Caligus sp. RWXLT",1,2,1,0.0178571428571429,Inf,0.703914409211443,0.0178571428571429,1,FALSE
"Pseudomonas aeruginosa","Photobacterium sp.",1,8,1,0.0714285714285714,Inf,0.342223782220227,0.0714285714285714,1,FALSE
"Pseudomonas aeruginosa","Photobacterium sp. QLXSD",1,2,1,0.0178571428571429,Inf,0.703914409211443,0.0178571428571429,1,FALSE
"Pseudomonas aeruginosa","Taeniidae sp. LZY",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Pseudomonas aeruginosa","Toxocara sp. CTSZ",1,19,1,0.169642857142857,Inf,0.209992210110886,0.169642857142857,1,FALSE
"Sarcocystidae sp. SZMB","Eimeria sp. SZMB",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Sarcocystidae sp. SZMB","Opisthorchiidae sp. SZMB",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Taeniidae sp. QLXSDD","Taeniidae sp. HBSZ",4,3,1,0.107142857142857,16.2011053417412,0.266062857005875,0.104264654264654,1,FALSE
"Toxocara sp. CTSZ","Caligus sp. RWXLT",19,2,1,0.339285714285714,5.00190091324026,0.118686713612198,0.311776061776062,1,FALSE
"Toxocara sp. CTSZ","Cystoisospora sp. DSLT-2",19,1,1,0.169642857142857,Inf,0.209992210110886,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Eimeriorina sp. RWXLT",19,1,1,0.169642857142857,Inf,0.209992210110886,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Hydatigera sp. SDYY",19,3,1,0.508928571428571,2.5007743596301,0.0723553316338375,0.430651105651106,1,FALSE
"Toxocara sp. CTSZ","Sarcocystidae sp. DSLT",19,1,1,0.169642857142857,Inf,0.209992210110886,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Taeniidae sp. LZY",19,1,1,0.169642857142857,Inf,0.209992210110886,0.169642857142858,1,FALSE
"Toxocara sp. CTSZ","Taeniidae sp. QLXSDD",19,4,1,0.678571428571429,1.65785651458827,0.0412042821715165,0.529895408335775,1,FALSE
"Toxocara sp. CTSZ","Toxocara sp. LYS",19,1,1,0.169642857142857,Inf,0.209992210110886,0.169642857142858,1,FALSE
"Toxoplasma sp. LZY","Eimeria sp. SZMB",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Toxoplasma sp. LZY","Opisthorchiidae sp. SZMB",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Toxoplasma sp. LZY","Sarcocystidae sp. SZMB",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
"Vibrio ponticus","Caligus sp. RWXLT",8,2,1,0.142857142857143,13.8306148097747,0.22438727760203,0.138352638352638,1,FALSE
"Vibrio ponticus","Eimeriorina sp. RWXLT",8,1,1,0.0714285714285714,Inf,0.342223782220227,0.0714285714285713,1,FALSE
"Vibrio ponticus","Photobacterium swingsii",8,1,1,0.0714285714285714,Inf,0.342223782220227,0.0714285714285713,1,FALSE
"Vibrio ponticus","Pseudoloma sp. FJ",8,1,1,0.0714285714285714,Inf,0.342223782220227,0.0714285714285713,1,FALSE
"Vibrio ponticus","Toxocara sp. CTSZ",8,19,1,1.35714285714286,0.684629345468628,-0.032989828164944,0.78581839028292,1,FALSE
"Vibrio sp. Y","Caligus sp. RWXLT",3,2,1,0.0535714285714286,44.2947127555236,0.395203378419455,0.0530888030888033,1,FALSE
"Vibrio sp. Y","Pseudoloma sp. FJ",3,1,1,0.0267857142857143,Inf,0.572125272407475,0.0267857142857143,1,FALSE
"Wenzhou pacific spadenose shark astrovirus 2","Wenzhou pacific spadenose shark reovirus 2",1,1,1,0.00892857142857143,Inf,1,0.0089285714285714,0.782280219780217,FALSE
