"Pathogen","Pathogen taxa","Classification","Category","Tissue","Positive_libraries","Detected"
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Intestine",0,FALSE
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Spleen",2,TRUE
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Kidney",0,FALSE
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Skin",0,FALSE
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Gill",0,FALSE
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Liver",0,FALSE
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Muscles",0,FALSE
"Marble sleepy goby iridovirus","Pimascovirales","DNA virus","DNA","Brain",0,FALSE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Intestine",1,TRUE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Spleen",1,TRUE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Kidney",0,FALSE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Skin",0,FALSE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Gill",0,FALSE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Liver",0,FALSE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Muscles",0,FALSE
"Nanhai papillomavirus ZBTTT","Zurhausenvirales","DNA virus","DNA","Brain",0,FALSE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Intestine",0,FALSE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Spleen",0,FALSE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Kidney",1,TRUE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Skin",0,FALSE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Gill",0,FALSE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Liver",0,FALSE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Muscles",0,FALSE
"Nanhai papillomavirus HM","Zurhausenvirales","DNA virus","DNA","Brain",0,FALSE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Intestine",1,TRUE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Spleen",0,FALSE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Kidney",0,FALSE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Skin",0,FALSE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Gill",0,FALSE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Liver",0,FALSE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Muscles",0,FALSE
"Clostridium sp. SQHN","Bacillota","Bacteria","BACTERIA","Brain",0,FALSE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Intestine",1,TRUE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Spleen",0,FALSE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Kidney",0,FALSE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Skin",0,FALSE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Gill",0,FALSE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Liver",1,TRUE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Muscles",0,FALSE
"Clostridium sp. Y","Bacillota","Bacteria","BACTERIA","Brain",1,TRUE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Intestine",3,TRUE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Spleen",0,FALSE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Skin",2,TRUE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Muscles",0,FALSE
"Aliivibrio fischeri","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Intestine",6,TRUE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Spleen",1,TRUE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Skin",1,TRUE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Gill",1,TRUE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Muscles",1,TRUE
"Photobacterium sp.","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Intestine",2,TRUE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Spleen",1,TRUE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Skin",0,FALSE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Liver",1,TRUE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Muscles",1,TRUE
"Photobacterium damselae","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Intestine",2,TRUE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Spleen",0,FALSE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Skin",0,FALSE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Muscles",0,FALSE
"Photobacterium damselae QLXSD","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Intestine",1,TRUE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Spleen",0,FALSE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Skin",0,FALSE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Muscles",0,FALSE
"Photobacterium swingsii","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Intestine",1,TRUE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Spleen",0,FALSE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Skin",2,TRUE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Muscles",0,FALSE
"Vibrio sp. Y","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Intestine",6,TRUE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Spleen",0,FALSE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Skin",4,TRUE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Muscles",0,FALSE
"Vibrio ponticus","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Intestine",0,FALSE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Spleen",0,FALSE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Kidney",0,FALSE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Skin",3,TRUE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Muscles",0,FALSE
"Acinetobacter johnsonii","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Intestine",0,FALSE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Spleen",0,FALSE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Kidney",1,TRUE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Skin",0,FALSE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Gill",0,FALSE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Liver",0,FALSE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Muscles",0,FALSE
"Pseudomonas aeruginosa","Pseudomonadota","Bacteria","BACTERIA","Brain",0,FALSE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Besnoitia sp. HKL","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",1,TRUE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Cystoisospora sp. DSLT-2","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Cystoisospora sp. DSLT-4","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",1,TRUE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",1,TRUE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Sarcocystidae sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Sarcocystidae sp. DSLT","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Toxoplasma sp. LZY","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Eimeriorina sp. RWXLT","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Eimeria sp. SZMB","Apicomplexa","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Spleen",1,TRUE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Kidney",1,TRUE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Skin",2,TRUE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Liver",1,TRUE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Muscles",1,TRUE
"Glugea plecoglossi","Microsporidia","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Pseudoloma sp. FJ","Microsporidia","Eukaryota","EUKARYOTA","Brain",1,TRUE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Muscles",1,TRUE
"Toxocaridae sp. Z","Nematoda","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Intestine",13,TRUE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Spleen",8,TRUE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Kidney",1,TRUE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Liver",4,TRUE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Muscles",1,TRUE
"Toxocara sp. CTSZ","Nematoda","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Toxocara sp. HBSXST","Nematoda","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Spleen",1,TRUE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Toxocara sp. LYS","Nematoda","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Strigeidida sp. FJ","Platyhelminthes","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Intestine",2,TRUE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Gill",1,TRUE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Taeniidae sp. HBSZ","Platyhelminthes","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Intestine",4,TRUE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Taeniidae sp. QLXSDD","Platyhelminthes","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Intestine",1,TRUE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Taeniidae sp. LZY","Platyhelminthes","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Gill",1,TRUE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Opisthorchiidae sp. SZMB","Platyhelminthes","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Intestine",3,TRUE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Gill",0,FALSE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Hydatigera sp. SDYY","Platyhelminthes","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Skin",0,FALSE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Gill",1,TRUE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Liver",0,FALSE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Muscles",0,FALSE
"Lepeophtheirus sp. SQHN","Arthropoda","Eukaryota","EUKARYOTA","Brain",0,FALSE
"Caligus sp. RWXLT","Arthropoda","Eukaryota","EUKARYOTA","Intestine",0,FALSE
"Caligus sp. RWXLT","Arthropoda","Eukaryota","EUKARYOTA","Spleen",0,FALSE
"Caligus sp. RWXLT","Arthropoda","Eukaryota","EUKARYOTA","Kidney",0,FALSE
"Caligus sp. RWXLT","Arthropoda","Eukaryota","EUKARYOTA","Skin",2,TRUE
"Caligus sp. RWXLT","Arthropoda","Eukaryota","EUKARYOTA","Gill",0,FALSE
