"Pathogen","Pathogen taxa","Classification","Category","Tissue","Positive_libraries","Detected"
"Nanhai filovirus 1","Mono-Chu","RNA virus","RNA","Skin",0,FALSE
"Nanhai filovirus 1","Mono-Chu","RNA virus","RNA","Gill",0,FALSE
"Nanhai filovirus 1","Mono-Chu","RNA virus","RNA","Liver",0,FALSE
"Nanhai filovirus 1","Mono-Chu","RNA virus","RNA","Muscles",0,FALSE
"Nanhai filovirus 1","Mono-Chu","RNA virus","RNA","Brain",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Intestine",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Spleen",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Kidney",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Skin",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Gill",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Liver",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Muscles",0,FALSE
"Nanhai filovirus 2","Mono-Chu","RNA virus","RNA","Brain",1,TRUE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Intestine",0,FALSE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Spleen",0,FALSE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Kidney",1,TRUE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Skin",0,FALSE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Gill",0,FALSE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Liver",0,FALSE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Muscles",0,FALSE
"Nanhai filovirus 3","Mono-Chu","RNA virus","RNA","Brain",0,FALSE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Intestine",1,TRUE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Spleen",0,FALSE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Kidney",0,FALSE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Skin",0,FALSE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Gill",0,FALSE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Liver",0,FALSE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Muscles",0,FALSE
"Nanhai rhabdovirus 1","Mono-Chu","RNA virus","RNA","Brain",0,FALSE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Intestine",0,FALSE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Spleen",0,FALSE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Kidney",1,TRUE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Skin",0,FALSE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Gill",0,FALSE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Liver",0,FALSE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Muscles",0,FALSE
"Nanhai paramyxovirus 1","Mono-Chu","RNA virus","RNA","Brain",0,FALSE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Intestine",0,FALSE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Spleen",0,FALSE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Kidney",1,TRUE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Skin",0,FALSE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Gill",0,FALSE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Liver",0,FALSE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Muscles",0,FALSE
"Nanhai paramyxovirus 2","Mono-Chu","RNA virus","RNA","Brain",0,FALSE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Intestine",0,FALSE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Spleen",1,TRUE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Kidney",1,TRUE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Skin",1,TRUE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Gill",1,TRUE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Liver",0,FALSE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Muscles",0,FALSE
"Psenopsis anomala artervirus","Nido","RNA virus","RNA","Brain",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Intestine",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Spleen",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Kidney",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Skin",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Gill",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Liver",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Muscles",0,FALSE
"Nanhai amnoonvirus 1","Orthomyxo","RNA virus","RNA","Brain",1,TRUE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Intestine",0,FALSE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Spleen",1,TRUE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Kidney",1,TRUE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Skin",1,TRUE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Gill",0,FALSE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Liver",2,TRUE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Muscles",1,TRUE
"Arius arius calicivirus","Picorna","RNA virus","RNA","Brain",1,TRUE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Intestine",1,TRUE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Spleen",0,FALSE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Kidney",0,FALSE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Skin",0,FALSE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Gill",0,FALSE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Liver",0,FALSE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Muscles",0,FALSE
"Bregmaceros mcclellandi picornavirus","Picorna","RNA virus","RNA","Brain",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Intestine",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Spleen",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Kidney",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Skin",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Gill",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Liver",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Muscles",0,FALSE
"Thryssa dussumieri picornavirus","Picorna","RNA virus","RNA","Brain",0,FALSE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Intestine",0,FALSE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Spleen",0,FALSE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Kidney",0,FALSE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Skin",0,FALSE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Gill",0,FALSE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Liver",2,TRUE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Muscles",0,FALSE
"Leiognathus ruconius picornavirus","Picorna","RNA virus","RNA","Brain",0,FALSE
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Intestine",0,FALSE
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Spleen",0,FALSE
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Kidney",1,TRUE
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Skin",1,TRUE
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Gill",0,FALSE
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Liver",1,TRUE
"Polydactylus sextarius picornavirus","Picorna","RNA virus","RNA","Muscles",1,TRUE
