host_order	species	species_abbreviation	lib_index	total_reads	qc_filtered_reads	qc_retained_pct	pre_rRNA_reads	qc_filtered_loss_reads	qc_filtered_loss_pct	rRNA_reads	rRNA_reads_pct	rRNA_reads_pct_total	remaining_reads	remaining_reads_pct	remaining_reads_pct_total	remaining_reads_pct_input
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-1-K	79043096	79043090	99.99999240920421	69634530	9408566	11.903083856937993	499376	0.71713846564341	0.6317768727075164	69135154	99.28286153435658	87.46513927035448	99.2828615
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-1-M	78374992	78374988	99.99999489633122	64414382	13960610	17.81258236045498	900972	1.398712480079371	1.1495656675792707	63513410	98.60128751992063	81.03785197196575	98.6012875
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-1-P	84481002	84480998	99.99999526520767	80996520	3484482	4.124574658809089	1792898	2.2135494216294727	2.1222499231247283	79203622	97.78645057837053	93.75317541806618	97.7864506
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-1-S	38408462	38408460	99.99999479281415	35646198	2762264	7.191811012896064	1573268	4.413564666840486	4.0961494370693625	34072930	95.58643533315951	88.71203955003458	95.5864353
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-B	114177250	114177248	99.99999824833756	106008294	8168956	7.1546266878909766	699762	0.660101180384999	0.6128734051660905	105308532	99.339898819615	92.23249990694293	99.3398988
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-G	105082338	105082336	99.99999809673058	95082642	9999696	9.516057779376778	1788370	1.8808585482931786	1.7018749620892524	93294272	98.11914145170682	88.78206725853397	98.1191415
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-H	113802578	113802576	99.99999824257057	94958676	18843902	16.558413993046802	601304	0.6332270260381474	0.5283746735508926	94357372	99.36677297396186	82.9132113334023	99.366773
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-I	79493654	79493568	99.99989181526364	61038194	18455460	23.216268307404764	683270	1.1194138542172463	0.8595277303519095	60354924	98.88058614578276	75.92420396224333	98.8805861
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-K	88447384	88447374	99.99998869384311	63840338	24607046	27.82111226715309	1448784	2.26938648100516	1.6380179203491196	62391554	97.73061351899484	70.54086981249779	97.73061349999999
Scombriformes	Lepturacanthus savala	Le. savala	YS-SDYY-2-M	77043682	77043682	100	62688172	14355510	18.632949032731847	730038	1.1645546148641883	0.9475637470182176	61958134	98.83544538513581	80.41948722024993	98.8354454
