virus_name,is_core,Species name,matrix_name,Genome Type,Kingdom,classification
Acinetobacter johnsonii,TRUE,Acinetobacter johnsonii,Acinetobacter johnsonii,dsDNA,k__Bacteria,Bacteria
Pseudomonas aeruginosa,TRUE,Pseudomonas aeruginosa,Pseudomonas aeruginosa,dsDNA,k__Bacteria,Bacteria
Vibrio ponticus,TRUE,Vibrio ponticus,Vibrio ponticus,dsDNA,k__Bacteria,Bacteria
Photobacterium swingsii,TRUE,Photobacterium swingsii,Photobacterium swingsii,dsDNA,k__Bacteria,Bacteria
Photobacterium damselae,TRUE,Photobacterium damselae,Photobacterium damselae,dsDNA,k__Bacteria,Bacteria
Photobacterium damselae QLXSD,TRUE,Photobacterium sp. QLXSD,Photobacterium damselae QLXSD,dsDNA,k__Bacteria,Bacteria
Clostridium sp. Y,TRUE,Clostridium sp. Y,Clostridium sp. Y,dsDNA,k__Bacteria,Bacteria
Photobacterium sp.,TRUE,Photobacterium sp.,Photobacterium sp.,dsDNA,k__Bacteria,Bacteria
Vibrio sp. Y,TRUE,Vibrio sp. Y,Vibrio sp. Y,dsDNA,k__Bacteria,Bacteria
Clostridium sp. SQHN,TRUE,Clostridium sp. SQHN,Clostridium sp. SQHN,dsDNA,k__Bacteria,Bacteria
Pseudoloma sp. FJ,TRUE,Pseudoloma sp. FJ,Pseudoloma sp. FJ,dsDNA,k__Eukaryota,Eukaryota
Glugea plecoglossi,TRUE,Glugea plecoglossi,Glugea plecoglossi,dsDNA,k__Eukaryota,Eukaryota
Toxocara sp. CTSZ,TRUE,Toxocara sp. CTSZ,Toxocara sp. CTSZ,dsDNA,k__Eukaryota,Eukaryota
Lepeophtheirus sp. SQHN,TRUE,Lepeophtheirus sp. SQHN,Lepeophtheirus sp. SQHN,dsDNA,k__Eukaryota,Eukaryota
Toxocara sp. HBSXST,TRUE,Toxocara sp. HBSXST,Toxocara sp. HBSXST,dsDNA,k__Eukaryota,Eukaryota
Toxoplasma sp. LZY,TRUE,Toxoplasma sp. LZY,Toxoplasma sp. LZY,dsDNA,k__Eukaryota,Eukaryota
Toxocara sp. LYS,TRUE,Toxocara sp. LYS,Toxocara sp. LYS,dsDNA,k__Eukaryota,Eukaryota
Besnoitia sp. HKL,TRUE,Besnoitia sp. HKL,Besnoitia sp. HKL,dsDNA,k__Eukaryota,Eukaryota
Cystoisospora sp. DSLT-4,TRUE,Cystoisospora sp. DSLT-4,Cystoisospora sp. DSLT-4,dsDNA,k__Eukaryota,Eukaryota
Caligus sp. RWXLT,TRUE,Caligus sp. RWXLT,Caligus sp. RWXLT,dsDNA,k__Eukaryota,Eukaryota
Hydatigera sp. SDYY,TRUE,Hydatigera sp. SDYY,Hydatigera sp. SDYY,dsDNA,k__Eukaryota,Eukaryota
Cystoisospora sp. DSLT-2,TRUE,Cystoisospora sp. DSLT-2,Cystoisospora sp. DSLT-2,dsDNA,k__Eukaryota,Eukaryota
Sarcocystidae sp. DSLT,TRUE,Sarcocystidae sp. DSLT,Sarcocystidae sp. DSLT,dsDNA,k__Eukaryota,Eukaryota
Sarcocystidae sp. SZMB,TRUE,Sarcocystidae sp. SZMB,Sarcocystidae sp. SZMB,dsDNA,k__Eukaryota,Eukaryota
Toxocaridae sp. Z,TRUE,Toxocaridae sp. Z,Toxocaridae sp. Z,dsDNA,k__Eukaryota,Eukaryota
Eimeria sp. SZMB,TRUE,Eimeria sp. SZMB,Eimeria sp. SZMB,dsDNA,k__Eukaryota,Eukaryota
Taeniidae sp. QLXSDD,TRUE,Taeniidae sp. QLXSDD,Taeniidae sp. QLXSDD,dsDNA,k__Eukaryota,Eukaryota
Taeniidae sp. LZY,TRUE,Taeniidae sp. LZY,Taeniidae sp. LZY,dsDNA,k__Eukaryota,Eukaryota
Taeniidae sp. HBSZ,TRUE,Taeniidae sp. HBSZ,Taeniidae sp. HBSZ,dsDNA,k__Eukaryota,Eukaryota
Opisthorchiidae sp. SZMB,TRUE,Opisthorchiidae sp. SZMB,Opisthorchiidae sp. SZMB,dsDNA,k__Eukaryota,Eukaryota
Eimeriorina sp. RWXLT,TRUE,Eimeriorina sp. RWXLT,Eimeriorina sp. RWXLT,dsDNA,k__Eukaryota,Eukaryota
Strigeidida sp. FJ,TRUE,Strigeidida sp. FJ,Strigeidida sp. FJ,dsDNA,k__Eukaryota,Eukaryota
