lib_id,genus,class,order,family,species,species_abbreviation,plot_group
YS-Z-1,Others,Actinopteri,Mugiliformes,Mugilidae,Moolgarda cunnesius,Mo. cunnesius,Others
YS-Z-2,Others,Actinopteri,Mugiliformes,Mugilidae,Moolgarda cunnesius,Mo. cunnesius,Others
YS-QXDDY-1,Others,Actinopteri,Myctophiformes,Myctophidae,Benthosema pterotum,Be. pterotum,Others
YS-QXDDY-2,Others,Actinopteri,Myctophiformes,Myctophidae,Benthosema pterotum,Be. pterotum,Others
YS-QXDDY-3,Others,Actinopteri,Myctophiformes,Myctophidae,Benthosema pterotum,Be. pterotum,Others
YS-DLLY-1,Others,Actinopteri,Perciformes,Platycephalidae,Kumococius rodericensis,Ku. rodericensis,Others
YS-Y-1,Others,Actinopteri,Perciformes,Platycephalidae,Inegocia japonica,In. japonica,Others
YS-Y-2,Others,Actinopteri,Perciformes,Platycephalidae,Inegocia japonica,In. japonica,Others
YS-DZTT-1,Others,Actinopteri,Pleuronectiformes,Soleidae,Zebrias zebrinus,Ze. zebrinus,Others
YS-CC-1,Others,Actinopteri,Scombriformes,Centrolophidae,Psenopsis anomala,Ps. anomala,Others
YS-CC-2,Others,Actinopteri,Scombriformes,Centrolophidae,Psenopsis anomala,Ps. anomala,Others
YS-CC-3,Others,Actinopteri,Scombriformes,Centrolophidae,Psenopsis anomala,Ps. anomala,Others
YS-SDYY-1,Others,Actinopteri,Scombriformes,Trichiuridae,Lepturacanthus savala,Le. savala,Others
YS-SDYY-2,Others,Actinopteri,Scombriformes,Trichiuridae,Lepturacanthus savala,Le. savala,Others
YS-SQHN-1,Others,Actinopteri,Siluriformes,Ariidae,Arius arius,Ar. arius,Others
YS-SQHN-2,Others,Actinopteri,Siluriformes,Ariidae,Arius arius,Ar. arius,Others
YS-RBJXY-1,Others,Actinopteri,Spariformes,Nemipteridae,Nemipterus japonicus,Ne. japonicus,Others
YS-RWXLT-1,Others,Actinopteri,Tetraodontiformes,Monacanthidae,Paramonacanthus sulcatus,Pa. sulcatus,Others
YS-RWXLT-2,Others,Actinopteri,Tetraodontiformes,Monacanthidae,Paramonacanthus sulcatus,Pa. sulcatus,Others
YS-RWXLT-3,Others,Actinopteri,Tetraodontiformes,Monacanthidae,Paramonacanthus sulcatus,Pa. sulcatus,Others
YS-ZBTTT-1,Others,Actinopteri,Tetraodontiformes,Tetraodontidae,Lagocephalus spadiceus,La. spadiceus,Others
YS-ZBTTT-3,Others,Actinopteri,Tetraodontiformes,Tetraodontidae,Lagocephalus spadiceus,La. spadiceus,Others
YS-JTZCS-1,Others,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Scoliodon macrorhynchos,Sc. macrorhynchos,Others
YS-JZH-2,Others,Chondrichthyes,Myliobatiformes,Dasyatidae,Telatrygon zugei,Te. zugei,Others
