lib_id,organ
YS_SDYY_2_I,Intestine
YS_SQHN_1_G,Gill
YS_SQHN_1_H,Liver
YS_SQHN_1_I,Intestine
YS_SQHN_1_P,Skin
YS_SQHN_2_B,Brain
YS_SQHN_2_H,Liver
YS_SQHN_2_I,Intestine
YS_SQHN_2_K,Kidney
YS_SQHN_2_M,Muscles
YS_SQHN_2_S,Spleen
YS_SZMB_1_G,Gill
YS_SZMB_1_I,Intestine
YS_SZMB_1_K,Kidney
YS_SZMB_1_S,Spleen
YS_Y_1_B,Brain
YS_Y_2_H,Liver
YS_Y_2_M,Muscles
YS_Y_2_S,Spleen
YS_Z_1_P,Skin
YS_Z_2_M,Muscles
YS_ZBTTT_1_I,Intestine
YS_ZBTTT_1_P,Skin
YS_ZBTTT_1_S,Spleen
YS_ZBTTT_3_I,Intestine
YS_ZBTTT_3_K,Kidney
