node_id	label	node_type	node_zone	host_label	species	host_class	host_order	family	genus	classification	taxonomy	novelty	multi_tissue_distribution	connected_hosts	connected_orders	x	y	angle_degrees	radius
host::Si. canaliculatus	Si. canaliculatus	Host species	host_ring	Si. canaliculatus	Siganus canaliculatus	Actinopteri	Eupercaria incertae sedis	Siganidae	Siganus					NA	NA	0.948715576488878	0.245639481613556	14.5161290322587	0.98
host::Br. mcclellandi	Br. mcclellandi	Host species	host_ring	Br. mcclellandi	Bregmaceros mcclellandi	Actinopteri	Gadiformes	Bregmacerotidae	Bregmaceros					NA	NA	-0.978742177027632	0.0496361854619388	177.096774193548	0.98
host::Od. rubicundus	Od. rubicundus	Host species	host_ring	Od. rubicundus	Odontamblyopus rubicundus	Actinopteri	Gobiiformes	Gobiidae	Odontamblyopus					NA	NA	0.831671372344859	-0.518384730120418	328.064516129033	0.98
host::Lu. johnii	Lu. johnii	Host species	host_ring	Lu. johnii	Lutjanus johnii	Actinopteri	Lutjaniformes	Lutjanidae	Lutjanus					NA	NA	-0.831671372344856	0.518384730120423	148.064516129032	0.98
host::Mo. cunnesius	Mo. cunnesius	Host species	host_ring	Mo. cunnesius	Moolgarda cunnesius	Actinopteri	Mugiliformes	Mugilidae	Moolgarda					NA	NA	-0.386468738011052	0.900578655387826	113.225806451613	0.98
host::Be. pterotum	Be. pterotum	Host species	host_ring	Be. pterotum	Benthosema pterotum	Actinopteri	Myctophiformes	Myctophidae	Benthosema					NA	NA	0.638345033067768	0.743582960238943	49.3548387096782	0.98
host::In. japonica	In. japonica	Host species	host_ring	In. japonica	Inegocia japonica	Actinopteri	Perciformes	Platycephalidae	Inegocia					NA	NA	0.475595923280463	-0.856859683821688	299.032258064516	0.98
host::Ku. rodericensis	Ku. rodericensis	Host species	host_ring	Ku. rodericensis	Kumococius rodericensis	Actinopteri	Perciformes	Platycephalidae	Kumococius					NA	NA	0.559842850792901	-0.804348172383128	304.83870967742	0.98
host::Cy. gracilis	Cy. gracilis	Host species	host_ring	Cy. gracilis	Cynoglossus gracilis	Actinopteri	Pleuronectiformes	Cynoglossidae	Cynoglossus					NA	NA	-0.94871557648888	0.245639481613546	165.483870967742	0.98
host::Ze. zebrinus	Ze. zebrinus	Host species	host_ring	Ze. zebrinus	Zebrias zebrinus	Actinopteri	Pleuronectiformes	Soleidae	Zebrias					NA	NA	-0.918997089504139	0.340359147787924	159.677419354839	0.98
host::Le. savala	Le. savala	Host species	host_ring	Le. savala	Lepturacanthus savala	Actinopteri	Scombriformes	Trichiuridae	Lepturacanthus					NA	NA	0.83167137234485	0.518384730120433	31.9354838709684	0.98
host::Ps. anomala	Ps. anomala	Host species	host_ring	Ps. anomala	Psenopsis anomala	Actinopteri	Scombriformes	Centrolophidae	Psenopsis					NA	NA	0.774960222198937	0.599863862896719	37.7419354838717	0.98
host::Ar. arius	Ar. arius	Host species	host_ring	Ar. arius	Arius arius	Actinopteri	Siluriformes	Ariidae	Arius					NA	NA	0.0991449555476864	-0.974971936924057	275.806451612903	0.98
host::Ne. japonicus	Ne. japonicus	Host species	host_ring	Ne. japonicus	Nemipterus japonicus	Actinopteri	Spariformes	Nemipteridae	Nemipterus					NA	NA	-0.0991449555476815	-0.974971936924057	264.193548387097	0.98
host::La. spadiceus	La. spadiceus	Host species	host_ring	La. spadiceus	Lagocephalus spadiceus	Actinopteri	Tetraodontiformes	Tetraodontidae	Lagocephalus					NA	NA	0.918997089504141	-0.340359147787917	339.677419354839	0.98
host::Pa. sulcatus	Pa. sulcatus	Host species	host_ring	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Monacanthidae	Paramonacanthus					NA	NA	0.948715576488882	-0.245639481613538	345.483870967742	0.98
host::Sc. macrorhynchos	Sc. macrorhynchos	Host species	host_ring	Sc. macrorhynchos	Scoliodon macrorhynchos	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Scoliodon					NA	NA	0.710296931484542	-0.675187580694169	316.451612903226	0.98
host::Te. zugei	Te. zugei	Host species	host_ring	Te. zugei	Telatrygon zugei	Chondrichthyes	Myliobatiformes	Dasyatidae	Telatrygon					NA	NA	0.197272549686872	0.959939342427447	78.3870967741944	0.98
pathogen::Wenzhou pacific spadenose shark astrovirus 2	Wenzhou pacific spadenose shark astrovirus 2	Virus	outer							RNA virus	Astro-Poty	Known	No	1	1	0.585763907583156	-0.960471574057719	301.377810446134	1.125
pathogen::Nanhai astrovirus LZMB	Nanhai astrovirus LZMB	Virus	outer							RNA virus	Astro-Poty	Novel	No	1	1	0.466248626598212	1.02383456583341	65.5157414806165	1.125
pathogen::Cynoglossus gracilis hantavirus	Cynoglossus gracilis hantavirus	Virus	outer							RNA virus	Bunya-Arena	Novel	No	1	1	-1.11125050866505	0.175349100344607	171.032982859927	1.125
pathogen::Telatrygon zugei hepacivirus	Telatrygon zugei hepacivirus	Virus	outer							RNA virus	Flavi	Novel	No	1	1	0.114930046078709	1.1191139729752	84.136431135789	1.125
pathogen::Odontamblyopus rubicundus hepacivirus	Odontamblyopus rubicundus hepacivirus	Virus	outer							RNA virus	Flavi	Novel	Yes	1	1	0.861781067834351	-0.723158620997002	319.998500101306	1.125
pathogen::Johnius belangerii hepacivirus	Johnius belangerii hepacivirus	Virus	outer							RNA virus	Flavi	Novel	Yes	1	1	1.12296496259727	0.0676364752106357	3.44677596337514	1.125
pathogen::Bombay duck fish bornavirus	Bombay duck fish bornavirus	Virus	outer							RNA virus	Mono-Chu	Known	Yes	1	1	-0.585763907583156	0.960471574057719	121.377810446134	1.125
pathogen::Paramonacanthus sulcatus filovirus	Paramonacanthus sulcatus filovirus	Virus	outer							RNA virus	Mono-Chu	Known	Yes	2	1	0.997090832466938	-0.520994118786756	332.412293204754	1.125
pathogen::Nanhai filovirus 1	Nanhai filovirus 1	Virus	outer							RNA virus	Mono-Chu	Novel	No	1	1	-0.352819468885961	-1.06824314759095	251.722638032341	1.125
pathogen::Nanhai filovirus 2	Nanhai filovirus 2	Virus	outer							RNA virus	Mono-Chu	Novel	No	1	1	-0.990775578396098	-0.532905951602979	208.274362170272	1.125
pathogen::Nanhai filovirus 3	Nanhai filovirus 3	Virus	outer							RNA virus	Mono-Chu	Novel	No	1	1	-0.768753933032136	-0.821366173181987	226.895051825444	1.125
