source	target	host_label	host_species	host_class	host_order	pathogen	RPM	log10_RPM_plus1
host::Sa. elongata	pathogen::Nanhai reo-like virus 6	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Nanhai reo-like virus 6	15.825501536	1.2259680185763075
host::Pa. sulcatus	pathogen::Nanhai reo-like virus 6	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Nanhai reo-like virus 6	6.137258916	0.8535314518011311
host::Od. rubicundus	pathogen::Nanhai reo-like virus 7	Od. rubicundus	Odontamblyopus rubicundus	Actinopteri	Gobiiformes	Nanhai reo-like virus 7	2167.235718622	3.336106494532398
host::Sa. elongata	pathogen::Asian seabass Nervous Necrosis Virus	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Asian seabass Nervous Necrosis Virus	0.534122431	0.1858600199688886
host::Sa. lemuru	pathogen::Asian seabass Nervous Necrosis Virus	Sa. lemuru	Sardinella lemuru	Actinopteri	Clupeiformes	Asian seabass Nervous Necrosis Virus	1.382806351	0.37708874897279454
host::Se. tenuifilis	pathogen::Asian seabass Nervous Necrosis Virus	Se. tenuifilis	Setipinna tenuifilis	Actinopteri	Clupeiformes	Asian seabass Nervous Necrosis Virus	1.831828347	0.45206692479102195
host::Lu. johnii	pathogen::Asian seabass Nervous Necrosis Virus	Lu. johnii	Lutjanus johnii	Actinopteri	Lutjaniformes	Asian seabass Nervous Necrosis Virus	1.211018162	0.34459231002511126
host::Br. mcclellandi	pathogen::Nanhai retrovirus 1	Br. mcclellandi	Bregmaceros mcclellandi	Actinopteri	Gadiformes	Nanhai retrovirus 1	737.7536184549999	2.8684996210922775
host::Be. pterotum	pathogen::Nanhai retrovirus 2	Be. pterotum	Benthosema pterotum	Actinopteri	Myctophiformes	Nanhai retrovirus 2	240.82049814099997	2.383493111463595
host::Mo. cunnesius	pathogen::Osteomugil cunnesius hepadna-like virus	Mo. cunnesius	Moolgarda cunnesius	Actinopteri	Mugiliformes	Osteomugil cunnesius hepadna-like virus	4.471772337	0.7381280194793304
host::Ze. zebrinus	pathogen::Nanhai hepadna-like virus 1	Ze. zebrinus	Zebrias zebrinus	Actinopteri	Pleuronectiformes	Nanhai hepadna-like virus 1	9.478248646	1.020288699924535
host::Sa. elongata	pathogen::Nanhai circo-like virus 2	Sa. elongata	Saurida elongata	Actinopteri	Aulopiformes	Nanhai circo-like virus 2	19.534856705	1.312491676634769
host::Cy. gracilis	pathogen::Cynoglossus gracilis herpes-like virus	Cy. gracilis	Cynoglossus gracilis	Actinopteri	Pleuronectiformes	Cynoglossus gracilis herpes-like virus	0.250908855	0.09722566683761291
host::Ha. nehereus	pathogen::Nanhai parvovirus LTY1	Ha. nehereus	Harpadon nehereus	Actinopteri	Aulopiformes	Nanhai parvovirus LTY1	32.992962236	1.5313890117938136
host::Si. canaliculatus	pathogen::Marble sleepy goby iridovirus	Si. canaliculatus	Siganus canaliculatus	Actinopteri	Eupercaria incertae sedis	Marble sleepy goby iridovirus	65.1534762	1.8205526702137989
