node_id	label	node_type	node_zone	x	y
pathogen::Micropterus salmoides reovirus	Micropterus salmoides reovirus	Virus	outer	1.10048142876752	-0.633909003673078
pathogen::Nanhai filovirus 1	Nanhai filovirus 1	Virus	outer	1.0463548413016	-0.719751030624275
pathogen::Nanhai filovirus 2	Nanhai filovirus 2	Virus	outer	0.985547164928518	-0.800997369347341
pathogen::Nanhai filovirus 3	Nanhai filovirus 3	Virus	outer	0.918446663243048	-0.877129253176355
pathogen::Nanhai paramyxovirus 1	Nanhai paramyxovirus 1	Virus	outer	0.845481780210639	-0.947660571793429
pathogen::Sarcocystidae sp. DSLT	Sarcocystidae sp. DSLT	Eukaryota	outer	0.767118404506334	-1.01214097509569
pathogen::Strigeidida sp. FJ	Strigeidida sp. FJ	Eukaryota	outer	0.683856894765159	-1.07015874872944
pathogen::Thryssa dussumieri picornavirus	Thryssa dussumieri picornavirus	Virus	outer	0.596228884738082	-1.12134344293084
pathogen::Johnius belangerii hepacivirus	Johnius belangerii hepacivirus	Virus	outer	0.506411317535064	-1.16466629446911
pathogen::Marble sleepy goby iridovirus	Marble sleepy goby iridovirus	Virus	outer	0.283437620558565	-1.23796733206175
pathogen::Nanhai reo-like virus 4	Nanhai reo-like virus 4	Virus	outer	0.0507828107719292	-1.26898428127779
pathogen::Bregmaceros mcclellandi picornavirus	Bregmaceros mcclellandi picornavirus	Virus	outer	-0.0489370948876788	-1.26905679965239
pathogen::Nanhai retrovirus 1	Nanhai retrovirus 1	Virus	outer	-0.240513965499602	-1.24701765520768
pathogen::Nanhai reo-like virus 7	Nanhai reo-like virus 7	Virus	outer	-0.337612418795697	-1.22430300770476
pathogen::Odontamblyopus rubicundus hepacivirus	Odontamblyopus rubicundus hepacivirus	Virus	outer	-0.519085475094061	-1.15907302166273
pathogen::Osteomugil cunnesius hepadna-like virus	Osteomugil cunnesius hepadna-like virus	Virus	outer	-0.776054609342591	-1.00530554724328
pathogen::Toxocaridae sp. Z	Toxocaridae sp. Z	Eukaryota	outer	-0.919316029309855	-0.876218031230791
pathogen::Nanhai retrovirus 2	Nanhai retrovirus 2	Virus	outer	-1.01620917442792	-0.761721020983749
pathogen::Nanhai amnoonvirus 1	Nanhai amnoonvirus 1	Virus	outer	-1.14408730863402	-0.551329511474373
pathogen::Cynoglossus gracilis hantavirus	Cynoglossus gracilis hantavirus	Virus	outer	-1.21531422637991	-0.368661540113167
pathogen::Cynoglossus gracilis herpes-like virus	Cynoglossus gracilis herpes-like virus	Virus	outer	-1.24898545052824	-0.230076822754446
pathogen::Nanhai hepadna-like virus 1	Nanhai hepadna-like virus 1	Virus	outer	-1.26690634382998	-0.0885907216550383
pathogen::Nanhai paramyxovirus 2	Nanhai paramyxovirus 2	Virus	outer	-1.2699516422915	0.0110827000829363
pathogen::Psenopsis anomala artervirus	Psenopsis anomala artervirus	Virus	outer	-1.26070169490482	0.153398945446518
pathogen::Psenopsis anomala picornavirus	Psenopsis anomala picornavirus	Virus	outer	-1.23555366897351	0.293780753430324
pathogen::Arius arius calicivirus	Arius arius calicivirus	Virus	outer	-1.20869509710087	0.389815549002752
pathogen::Clostridium sp. SQHN	Clostridium sp. SQHN	Bacteria	outer	-1.15736811507932	0.522875746423329
pathogen::Lepeophtheirus sp. SQHN	Lepeophtheirus sp. SQHN	Eukaryota	outer	-1.09144614260684	0.649342219317856
pathogen::Caligus sp. RWXLT	Caligus sp. RWXLT	Eukaryota	outer	-0.909058769279309	0.886855204639623
pathogen::Eimeriorina sp. RWXLT	Eimeriorina sp. RWXLT	Eukaryota	outer	-0.823217769550156	0.967063857197065
pathogen::Nanhai papillomavirus ZBTTT	Nanhai papillomavirus ZBTTT	Virus	outer	-0.730332230022483	1.03899703261866
pathogen::Paramonacanthus sulcatus filovirus	Paramonacanthus sulcatus filovirus	Virus	outer	-0.631197002197452	1.1020391755364
pathogen::Pseudoloma sp. FJ	Pseudoloma sp. FJ	Eukaryota	outer	-0.526660418173424	1.15565081401321
pathogen::Wenzhou pacific spadenose shark astrovirus 2	Wenzhou pacific spadenose shark astrovirus 2	Virus	outer	-0.434365582023598	1.1934096283981
pathogen::Wenzhou pacific spadenose shark reovirus 2	Wenzhou pacific spadenose shark reovirus 2	Virus	outer	-0.248670467288234	1.24541679718023
pathogen::Telatrygon zugei hepacivirus	Telatrygon zugei hepacivirus	Virus	outer	-0.100103406479311	1.26604869890982
pathogen::Nanhai reo-like virus 5	Nanhai reo-like virus 5	Virus	inner	-0.107033371647064	0.356816768107311
pathogen::Nanhai reo-like virus 6	Nanhai reo-like virus 6	Virus	inner	0.0660545783076234	0.469355470950868
pathogen::Asian seabass Nervous Necrosis Virus	Asian seabass Nervous Necrosis Virus	Virus	inner	0.250266920724966	-0.278586602134975
pathogen::Clostridium sp. Y	Clostridium sp. Y	Bacteria	inner	-0.142260532829811	-0.385128597674876
pathogen::Aliivibrio fischeri	Aliivibrio fischeri	Bacteria	inner	-0.119276498126712	0.0950280137166242
pathogen::Photobacterium sp.	Photobacterium sp.	Bacteria	inner	0.128872968506991	-0.206083527064753
pathogen::Photobacterium damselae	Photobacterium damselae	Bacteria	inner	-0.368155390278626	0.0857014057587364
pathogen::Photobacterium sp. QLXSD	Photobacterium sp. QLXSD	Bacteria	inner	0.411126557011842	0.187853086817067
pathogen::Photobacterium swingsii	Photobacterium swingsii	Bacteria	inner	0.000665602326935361	0.173268830271689
pathogen::Vibrio sp. Y	Vibrio sp. Y	Bacteria	inner	0.113014209098554	-0.0631488287778342
pathogen::Vibrio ponticus	Vibrio ponticus	Bacteria	inner	-0.16728317481685	0.227577971706421
pathogen::Acinetobacter johnsonii	Acinetobacter johnsonii	Bacteria	inner	0.251726061198695	-0.134742228904361
pathogen::Toxocara sp. CTSZ	Toxocara sp. CTSZ	Eukaryota	inner	0.00818451070899953	0.0301440232501198
pathogen::Toxocara sp. HBSXST	Toxocara sp. HBSXST	Eukaryota	inner	-0.115868371504377	-0.133659636959147
pathogen::Taeniidae sp. HBSZ	Taeniidae sp. HBSZ	Eukaryota	inner	0.126110255137649	0.103244858350418
pathogen::Taeniidae sp. QLXSDD	Taeniidae sp. QLXSDD	Eukaryota	inner	-0.272593764704992	-0.223481624026017
pathogen::Hydatigera sp. SDYY	Hydatigera sp. SDYY	Eukaryota	inner	-0.476948525167322	-0.143413766855216
