Organ	Input_row	Full_name	Display_name	Abundance	Positive_count	Classification	Known_pathogen
Intestine	23	Odontamblyopus rubicundus hepacivirus	Odon. rubicundus hepacivirus	0.975634628275342	1	RNA virus	FALSE
Intestine	24	Wenzhou pacific spadenose shark reovirus 2	Wenzhou ps shark reovirus 2	0.929233765108857	1	RNA virus	TRUE
Intestine	25	Nanhai reo-like virus 4	Nanhai reo-like virus 4	0.876403653867457	1	RNA virus	FALSE
Intestine	26	Eimeria sp. SZMB	Eimeria sp. SZMB	0.769284020144965	1	Eukaryota	FALSE
Intestine	27	Micropterus salmoides reovirus	Micropterus salmoides reovirus	0.767315034123673	1	RNA virus	TRUE
Intestine	28	Toxoplasma sp. LZY	Toxoplasma sp. LZY	0.644146419703576	1	Eukaryota	FALSE
Intestine	29	Sarcocystidae sp. SZMB	Sarcocystidae sp. SZMB	0.638238144888781	1	Eukaryota	FALSE
Intestine	30	Clostridium sp. Y	Clostridium sp. Y	0.574737271115329	1	Bacteria	TRUE
Intestine	31	Gymnothorax reevesii picornavirus	Gymn. reevesii picornavirus	0.521208515586692	1	RNA virus	FALSE
Intestine	32	Nanhai reo-like virus 7	Nanhai reo-like virus 7	0.499040427313612	1	RNA virus	FALSE
Intestine	33	Besnoitia sp. HKL	Besnoitia sp. HKL	0.496100011628664	1	Eukaryota	FALSE
Intestine	34	Nanhai circo-like virus 2	Nanhai circo-like virus 2	0.448185081669444	1	DNA virus	FALSE
Intestine	35	Eimeriorina sp. RWXLT	Eimeriorina sp. RWXLT	0.444275948556022	1	Eukaryota	FALSE
Intestine	36	Vibrio sp. Y	Vibrio sp. Y	0.440601675488845	1	Bacteria	FALSE
Intestine	37	Psenopsis anomala picornavirus	Psenopsis anomala picornavirus	0.408502752196073	1	RNA virus	FALSE
Intestine	38	Cystoisospora sp. DSLT-4	Cystoisospora sp. DSLT-4	0.348759695106535	1	Eukaryota	FALSE
Intestine	39	Cystoisospora sp. DSLT-2	Cystoisospora sp. DSLT-2	0.339106975795266	1	Eukaryota	FALSE
Intestine	40	Nanhai retrovirus 2	Nanhai retrovirus 2	0.335041889110637	1	RNA virus	FALSE
Intestine	41	Clostridium sp. SQHN	Clostridium sp. SQHN	0.334917785271232	1	Bacteria	FALSE
Intestine	42	Nanhai parvovirus LTY1	Nanhai parvovirus LTY1	0.319316916095395	1	DNA virus	FALSE
Intestine	43	Nanhai rhabdovirus 1	Nanhai rhabdovirus 1	0.131793532421189	1	RNA virus	FALSE
Kidney	2	Nanhai reo-like virus 5	Nanhai reo-like virus 5	0.953817332650241	3	RNA virus	FALSE
Kidney	3	Nanhai reo-like virus 6	Nanhai reo-like virus 6	0.504371755879488	3	RNA virus	FALSE
Kidney	4	Bombay duck fish bornavirus	Bombay duck fish bornavirus	1.86825302991256	2	RNA virus	TRUE
Kidney	5	Nanhai reo-like virus 2	Nanhai reo-like virus 2	2.21971177147929	2	RNA virus	FALSE
Kidney	6	Nanhai reo-like virus 7	Nanhai reo-like virus 7	2.30297856400045	2	RNA virus	FALSE
Kidney	7	Nanhai retrovirus 1	Nanhai retrovirus 1	1.44815041121178	2	RNA virus	FALSE
Kidney	8	Odontamblyopus rubicundus hepacivirus	Odon. rubicundus hepacivirus	1.16844983609405	1	RNA virus	FALSE
Kidney	9	Johnius belangerii hepacivirus	Johnius belangerii hepacivirus	0.686156234213179	1	RNA virus	FALSE
Kidney	10	Paramonacanthus sulcatus filovirus	Para. sulcatus filovirus	0.52593642335799	1	RNA virus	TRUE
Kidney	11	Nanhai filovirus 3	Nanhai filovirus 3	0.433359858118829	1	RNA virus	FALSE
Kidney	12	Nanhai paramyxovirus 1	Nanhai paramyxovirus 1	1.38811667579008	1	RNA virus	FALSE
Kidney	13	Nanhai paramyxovirus 2	Nanhai paramyxovirus 2	1.99980994151072	1	RNA virus	FALSE
Kidney	14	Psenopsis anomala artervirus	Psenopsis anomala artervirus	0.5991163270065	1	RNA virus	FALSE
Kidney	15	Arius arius calicivirus	Arius arius calicivirus	0.858133795095928	1	RNA virus	FALSE
Kidney	16	Polydactylus sextarius picornavirus	Poly. sextarius picornavirus 1	0.554653455536765	1	RNA virus	FALSE
Kidney	17	Gymnothorax reevesii picornavirus	Gym. reevesii picornavirus	0.617429200923316	1	RNA virus	FALSE
Kidney	18	Micropterus salmoides reovirus	Micropterus salmoides reovirus	1.63907122380655	1	RNA virus	TRUE
Kidney	19	Wenzhou pacific spadenose shark reovirus 2	Wenzhou ps shark reovirus 2	0.423513962445211	1	RNA virus	TRUE
Kidney	20	Nanhai reo-like virus 4	Nanhai reo-like virus 4	3.26903269184773	1	RNA virus	FALSE
Kidney	21	Nanhai circo-like virus 2	Nanhai circo-like virus 2	0.482855086984325	1	DNA virus	FALSE
Kidney	22	Nanhai parvovirus LTY1	Nanhai parvovirus LTY1	0.473159150090063	1	DNA virus	FALSE
Kidney	23	Nanhai papillomavirus HM	Nanhai papillomavirus HM	0.404615468481155	1	DNA virus	FALSE
Kidney	24	Nanhai retrovirus 2	Nanhai retrovirus 2	1.4785483356449	1	RNA virus	FALSE
Kidney	25	Pseudomonas aeruginosa	Pseudomonas aeruginosa	0.797167806659829	1	Bacteria	TRUE
